Node,PageRank,Degree,NORMALIZE,,,,,,,,,,
1,3.47E-04,1383,38.03166517,,,,,,1383,,,,
2,8.30E-06,1367,37.58846363,,,,,,1367,,,Average  :,10.02046823
3,1.91E-05,1261,34.65225343,,,,,,1261,,,,
4,2.57E-05,1245,34.20905189,,,,,,1245,,,STD DEV: ,36.1009576
5,1.59E-04,1244,34.18135179,,,,,,1244,,,,
6,2.81E-05,1143,31.38364207,,,,,,1143,,,,
7,3.52E-05,1099,30.16483784,,,,,,1099,,,,
8,8.30E-06,1068,29.30613485,,,,,,1068,,,,
9,1.46E-04,1026,28.14273081,,,,,,1026,,,,
10,1.75E-05,924,25.317321,,,,,,924,,,,
11,1.97E-05,908,24.87411946,,,,,,908,,,,
12,1.97E-05,834,22.82431233,,,,,,834,,,,
13,4.46E-05,829,22.68581185,,,,,,829,,,,
14,8.30E-06,815,22.29801051,,,,,,815,,,,
15,2.15E-05,791,21.6332082,,,,,,791,,,,
16,1.83E-05,711,19.4172005,,,,,,711,,,,
17,8.30E-06,705,19.25099992,,,,,,705,,,,
18,1.98E-05,686,18.72469809,,,,,,686,,,,
19,1.80E-05,666,18.17069616,,,,,,666,,,,
20,8.30E-06,609,16.59179068,,,,,,609,,,,
21,1.67E-05,607,16.53639049,,,,,,607,,,,
22,8.30E-06,597,16.25938952,,,,,,597,,,,
23,8.30E-06,591,16.09318895,,,,,,591,,,,
24,8.30E-06,552,15.01288519,,,,,,552,,,,
25,1.01E-05,542,14.73588423,,,,,,542,,,,
26,8.30E-06,540,14.68048404,,,,,,540,,,,
27,1.75E-04,539,14.65278394,,,,,,539,,,,
28,8.30E-06,538,14.62508385,,,,,,538,,,,
29,8.30E-06,537,14.59738375,,,,,,537,,,,
30,1.42E-05,521,14.15418221,,,,,,521,,,,
31,1.80E-05,514,13.96028154,,,,,,514,,,,
32,1.42E-05,505,13.71098067,,,,,,505,,,,
33,8.30E-06,497,13.4893799,,,,,,497,,,,
34,8.30E-06,496,13.4616798,,,,,,496,,,,
35,1.71E-05,486,13.18467884,,,,,,486,,,,
36,8.30E-06,481,13.04617836,,,,,,481,,,,
37,8.30E-06,479,12.99077817,,,,,,479,,,,
38,8.30E-06,468,12.68607711,,,,,,468,,,,
39,6.32E-05,463,12.54757663,,,,,,463,,,,
40,8.30E-06,459,12.43677624,,,,,,459,,,,
41,1.71E-05,455,12.32597586,,,,,,455,,,,
42,1.62E-05,449,12.15977528,,,,,,449,,,,
43,8.30E-06,446,12.07667499,,,,,,446,,,,
44,3.90E-05,424,11.46727287,,,,,,424,,,,
45,8.26E-05,423,11.43957278,,,,,,423,,,,
46,3.01E-04,422,11.41187268,,,,,,422,,,,
47,8.30E-06,421,11.38417258,,,,,,421,,,,
48,8.30E-06,417,11.2733722,,,,,,417,,,,
49,2.57E-05,405,10.94097104,,,,,,405,,,,
50,2.88E-05,405,10.94097104,,,,,,405,,,,
51,2.36E-05,399,10.77477047,,,,,,399,,,,
52,1.71E-05,397,10.71937027,,,,,,397,,,,
53,2.33E-04,396,10.69167018,,,,,,396,,,,
54,2.43E-04,389,10.4977695,,,,,,389,,,,
55,4.04E-05,386,10.41466922,,,,,,386,,,,
56,7.07E-04,386,10.41466922,,,,,,386,,,,
57,8.30E-06,383,10.33156893,,,,,,383,,,,
58,1.42E-05,377,10.16536835,,,,,,377,,,,
59,4.43E-05,377,10.16536835,,,,,,377,,,,
60,5.61E-05,366,9.860667291,,,,,,366,,,,
61,8.30E-06,365,9.832967195,,,,,,365,,,,
62,4.53E-05,365,9.832967195,,,,,,365,,,,
63,8.30E-06,364,9.805267099,,,,,,364,,,,
64,8.30E-06,363,9.777567002,,,,,,363,,,,
65,2.34E-05,361,9.72216681,,,,,,361,,,,
66,8.30E-06,344,9.251265174,,,,,,344,,,,
67,8.30E-06,343,9.223565077,,,,,,343,,,,
68,8.30E-06,343,9.223565077,,,,,,343,,,,
69,2.49E-05,339,9.112764692,,,,,,339,,,,
70,1.14E-05,339,9.112764692,,,,,,339,,,,
71,5.71E-06,339,9.112764692,,,,,,339,,,,
72,7.19E-04,338,9.085064596,,,,,,338,,,,
73,2.27E-04,332,8.918864019,,,,,,332,,,,
74,6.09E-04,330,8.863463826,,,,,,330,,,,
75,4.19E-04,327,8.780363538,,,,,,327,,,,
76,0.001540514,322,8.641863056,,,,,,322,,,,
77,1.21E-05,314,8.420262286,,,,,,314,,,,
78,7.41E-04,312,8.364862094,,,,,,312,,,,
79,2.80E-04,310,8.309461901,,,,,,310,,,,
80,8.92E-04,310,8.309461901,,,,,,310,,,,
81,3.04E-04,310,8.309461901,,,,,,310,,,,
82,7.05E-04,309,8.281761805,,,,,,309,,,,
83,3.60E-04,308,8.254061709,,,,,,308,,,,
84,8.24E-05,308,8.254061709,,,,,,308,,,,
85,6.51E-05,307,8.226361613,,,,,,307,,,,
86,2.67E-04,306,8.198661516,,,,,,306,,,,
87,8.47E-05,305,8.17096142,,,,,,305,,,,
88,4.73E-04,304,8.143261324,,,,,,304,,,,
89,5.24E-04,302,8.087861131,,,,,,302,,,,
90,9.84E-04,300,8.032460939,,,,,,300,,,,
91,5.10E-04,299,8.004760843,,,,,,299,,,,
92,1.55E-04,298,7.977060746,,,,,,298,,,,
93,9.10E-04,297,7.94936065,,,,,,297,,,,
94,2.14E-05,297,7.94936065,,,,,,297,,,,
95,0.001705345,296,7.921660554,,,,,,296,,,,
96,3.40E-05,295,7.893960458,,,,,,295,,,,
97,8.09E-05,293,7.838560265,,,,,,293,,,,
98,1.12E-05,292,7.810860169,,,,,,292,,,,
99,4.65E-05,286,7.644659592,,,,,,286,,,,
100,1.26E-05,285,7.616959495,,,,,,285,,,,
101,2.39E-04,284,7.589259399,,,,,,284,,,,
102,6.93E-04,283,7.561559303,,,,,,283,,,,
103,6.11E-06,282,7.533859207,,,,,,282,,,,
104,1.17E-05,281,7.50615911,,,,,,281,,,,
105,1.06E-05,280,7.478459014,,,,,,280,,,,
106,8.94E-04,280,7.478459014,,,,,,280,,,,
107,5.29E-04,279,7.450758918,,,,,,279,,,,
108,4.15E-05,278,7.423058822,,,,,,278,,,,
109,6.18E-04,277,7.395358725,,,,,,277,,,,
110,1.17E-05,275,7.339958533,,,,,,275,,,,
111,2.75E-04,275,7.339958533,,,,,,275,,,,
112,1.11E-04,271,7.229158148,,,,,,271,,,,
113,6.55E-05,270,7.201458052,,,,,,270,,,,
114,8.87E-04,269,7.173757955,,,,,,269,,,,
115,2.22E-04,264,7.035257474,,,,,,264,,,,
116,3.45E-04,263,7.007557378,,,,,,263,,,,
117,1.12E-05,263,7.007557378,,,,,,263,,,,
118,1.71E-04,263,7.007557378,,,,,,263,,,,
119,8.27E-05,262,6.979857282,,,,,,262,,,,
120,3.00E-05,261,6.952157185,,,,,,261,,,,
121,8.16E-05,258,6.869056897,,,,,,258,,,,
122,1.50E-04,258,6.869056897,,,,,,258,,,,
123,4.93E-05,258,6.869056897,,,,,,258,,,,
124,9.82E-06,257,6.8413568,,,,,,257,,,,
125,3.02E-05,253,6.730556415,,,,,,253,,,,
126,5.29E-05,253,6.730556415,,,,,,253,,,,
127,0.00102194,249,6.61975603,,,,,,249,,,,
128,9.00E-04,247,6.564355838,,,,,,247,,,,
129,1.18E-05,246,6.536655742,,,,,,246,,,,
130,6.11E-06,244,6.481255549,,,,,,244,,,,
131,1.84E-04,244,6.481255549,,,,,,244,,,,
132,9.14E-05,243,6.453555453,,,,,,243,,,,
133,4.15E-04,243,6.453555453,,,,,,243,,,,
134,6.37E-04,243,6.453555453,,,,,,243,,,,
135,2.95E-05,243,6.453555453,,,,,,243,,,,
136,0.001902807,240,6.370455164,,,,,,240,,,,
137,3.14E-05,239,6.342755068,,,,,,239,,,,
138,1.78E-04,235,6.231954683,,,,,,235,,,,
139,6.11E-06,234,6.204254587,,,,,,234,,,,
140,0.003022467,234,6.204254587,,,,,,234,,,,
141,3.87E-05,233,6.176554491,,,,,,233,,,,
142,3.30E-05,232,6.148854394,,,,,,232,,,,
143,2.39E-04,232,6.148854394,,,,,,232,,,,
144,2.94E-04,231,6.121154298,,,,,,231,,,,
145,2.54E-04,230,6.093454202,,,,,,230,,,,
146,3.79E-04,230,6.093454202,,,,,,230,,,,
147,6.45E-04,229,6.065754106,,,,,,229,,,,
148,9.02E-06,229,6.065754106,,,,,,229,,,,
149,9.19E-05,229,6.065754106,,,,,,229,,,,
150,1.94E-05,228,6.038054009,,,,,,228,,,,
151,5.20E-04,228,6.038054009,,,,,,228,,,,
152,6.11E-06,228,6.038054009,,,,,,228,,,,
153,6.13E-05,227,6.010353913,,,,,,227,,,,
154,8.55E-05,227,6.010353913,,,,,,227,,,,
